username,review,clean_review
diah rini,"Tidak membantu, cs nya sama aja salah dari penjual dan ekspedisi tapi ditanggung oleh pembeli, sudah sabar menunggu konfirmasi tapi gk ada kabar tiap hari di cek eh hari berikutnya tiba""diberi ke penjual untuk pengembalian dananya Bukti lengkap terus malah salah di pembeli Aneh",bantu cs nya sama aja salah jual ekspedisi tanggung beli sabar tunggu konfirmasi gak kabar tiap hari cek eh hari ikut tibadiberi jual kembali dana bukti lengkap terus malah salah beli aneh
Multi Sarana Teknik,"Hari ini saya terima paket Cod, Belum sampai 1 jam yg lalu, Barang yg dikirim tidak sesuai, Harusnya pihak platform Tokopedia bisa membantu karena dana nya otomatis masih dikurir belum disetor apalagi diteruskan ke Seler. Tapi kok tidak ada solusi. Harusnya bisa dibantu karna sudah lama langganan di Tokopedia. Kalau begini cara penanganan masalah di Tokopedia tidak ada keamanan bagi pembeli. Mending pindah ke Shopee atau yg lain.",hari saya terima paket cod sampai 1 jam yang lalu barang yang kirim sesuai harus pihak platform tokopedia bantu dana nya otomatis kurir setor terus seler kok ada solusi harus bantu karna lama langgan tokopedia kalau begini cara tangan masalah tokopedia ada aman beli mending pindah shopee yang
Yuyun Gaming,"Tolong Banget Hapus Ninja Express Dari pelayanan pengiriman Tokopedia, Barang saya Belum nyampe udah lewat estimasi nya dan ngak update2... dan bukan cuma saya yg mengalami ini... banyak yg mengalami hal serupa saat menggunakan jasa Ninja Express... katanya estimasi Bisa 1 hari doang... nyatanya berminggu-minggu... kalau gini mending pake JNE & JNT aja... jadi saran saya hapus Kerja sama Tokopedia Dengan Ninja Express... karena Ngak sesuai dengan Apa yg telah mereka janjikan.... terimakasih.",banget hapus ninja express layan kirim tokopedia barang belum nyampe udah lewat estimasi nya ngak update2 bukan cuma yang alami banyak yang alami rupa guna jasa ninja express kata estimasi 1 hari doang nyata bermingguminggu kalau gin mending pake jne jnt aja jadi saran hapus kerja sama tokopedia ninja express ngak sesuai apa yang mereka janji terimakasih
Sovi Apriliani,Tolong dong gratis ongkirnya tambah lagi vouchernya karena walaupun harganya murah kan jadi mahal karena ditambah ongkir tadinya pengen beli beberapa jadi ga jadi karena jadi mahal sama ongkir Cuma tokopedia yang paling murah harganya dibanding yang lain menurut pengalaman saya,dong gratis ongkirnya tambah vouchernya walaupun harga murah kan jadi mahal tambah ongkir tadi ken beli beberapa jadi ga jadi jadi mahal sama ongkir cuma tokopedia paling murah harga banding lain alam
krisna satriya,"Tolong buat tokopedia hilangkan aja JNE dulu saya pernah kehilangan barang, kemaren saya harus komplain, ini ada orderan saya yang gak update pengirimannya sampai sekarang. Asli jelek banget expedisinya",buat tokopedia hilang aja jne dulu pernah hilang barang kemaren harus komplain ada order yang gak update kirim sekarang asli jelek banget expedisinya
Rahmat Stikom,Tolong buatkan opsi pilihan kurir jangan lagi pembeli dipaksa menggunakan kurir rekomendasi Barang lama sampai karena saya tidak bisa memilih rekomendasi kurir pilihan sendiri. Kurir rekomendasi dari toped ini biar saya pilih reguler barangnya tetap lama bahkan sampai 2 minggu lebih,buat opsi pilih kurir jangan beli paksa guna kurir rekomendasi barang lama karena tidak pilih rekomendasi kurir pilih sendiri kurir rekomendasi toped biar pilih reguler barang tetap lama bahkan 2 minggu lebih
Leonardo Gunawan,"Ga tau knp skrg saya ga dpt ongkir gratis pdhl baru aktifin plus 6 bln!!! Udah saya coba cek di berbagai toko yg ada logo plus, yg ngga, bahkan sampe official store masa tetep dikenain ongkir full!!! Udh saya cek jg di range harga <20rb hingga yg harga >1jt berat 1kg tetep ngga ada efeknya nih ongkir",ga tau knp skrg ga dpt ongkir gratis pdhl baru aktifin plus 6 bln udah coba cek bagai toko yang logo plus yang ngga bahkan sampe official store masa tetep dikenain ongkir full udh cek jg range harga 20rb hingga yang harga 1jt berat 1kg tetep ngga efek nih ongkir
Steven Winbong,"Tokopedia sekarang lalukan penipuan ya? Saya berbelanja di tokopedia, saya mengajuakan pembatalan, di jawab penjual baik sebanyak 2 kali, tetapi ke 3 kalinya saya menanyakan, di bilang tidak bisa di cancel dengam alasan sudah di packing, dan CFS mengiyakan penjual lakukan penipuan. Jangan berbelanja disini ya temen-temen",tokopedia sekarang lalu tipu belanja tokopedia mengajuakan batal jawab jual baik banyak 2 kali ke 3 kali saya tanya bilang bisa cancel dengam alas di packing cfs iya jual laku tipu jangan belanja sini tementemen
budiman pranata,"Saya pesan barang pakai asuransi pengiriman, trus pesanan sampai lebih dari seminggu di banding estimasi sampainya, dan di liat juga kayaknya sempat nyasar ke tempat lain, tapi tidak ada kompensasi dari asuransi pengiriman atau jasa kirimnya, mulai saat itu langsung kecewa, dan tidak akan kasih rekomendasi teman atau keluarga untuk pakai ini lagi, asli kecewa sekali",pesan barang pakai asuransi kirim trus pesan lebih minggu banding estimasi sampai di liat kayak sempat nyasar tempat tapi ada kompensasi asuransi kirim jasa kirim mulai itu langsung kecewa tidak kasih rekomendasi teman keluarga pakai lagi asli kecewa sekali
Alifia Nuriaisyah,Saya sebagai pengguna baru di tokopedia sangat kecewa emang sih di kasih bonus dapet produk2 murah karna discon nya cukup besar cuman untuk pelayanan pengirimannya sangat tidak amanah aku CO untuk pertama kalinya di tokopedia paketnya nyasar untung masih deket bisa sya ambil eh ke dua kalinya CO nyasar lagi udah gitu jaraknya cukup jauh untung ada yg tau rumahnya tpi setelah sya kesana ternyata tidak ada yg menerima paket saya.,bagai guna baru tokopedia sangat kecewa emang sih kasih bonus dapet produk2 murah karna discon nya cukup besar cuman layan kirim sangat amanah aku co pertama kali tokopedia paket nyasar untung deket sya ambil eh dua kali co nyasar udah gitu jarak cukup jauh untung yang tau rumah tpi sya kesana nyata ada yang terima paket
