username,review,product
b***y,koq aku coba cek barcode nya tidak terbaca ya..harusnya kan keluar nama produk jika memang sdh terdaftar bpom..jadi ragu deh,Gendes Paket Bundling Feminine Wash Foam & Sweet Aromatic Feminine Care Spray Pembersih Kewanitaan
K***a,"penjualnya amanah, terimakasih kak",Parfum Evangeline Batik Elle 100ml / Parfum Wanita Original
l***i,Packing rapi,The Originote Bright B3 Serum Niacinamide + Glutathione - 20ml
N***e,"perpect🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 
#thanks dunia kecantikan😘 #thanks tokopedia😘 #thanks ID express😘",Dear Me Beauty Serum Lip Tint / Lip Stain - 3ml
Ivan,"Tampak lebih moist, ga bikin kulit ketarik...terima kasih",Clinelle Caviar Gold Firming Cleanser Gel Face Wash Facial Cleanser
a***h,"bagus banget, texturenya ringan, gampang menyerap jugaa",Dear Me Beauty Skin Barrier Sunscreen SPF 50 PA++++
Laili,barang okey... expayert masih lama 2027,The Face Cream Temulawak Krim Wajah Siang & Malam Whitening Cream
Adinna,bagusss lembutt,Mooi Pure Glow Tone Up Booster Serum Glowing Wajah Lotion Pencerah Kulit Hand Body Body Lotion
Unip,barang sesuai,Glad2Glow Centella Salicylic Acid Acne Gel Cleanser Facial Wash Face Wash Jerawat Sabun Wajah
Fikri,mantap dapat harga murah,Kahf Triple Protection Sunscreen Moisturizer SPF 30 PA+++ Sunblock
Robert,Fast response n delivery 👍🏻,Nuface Nu Glow Facial Wash Gel Hydra Lock | Brighten | Acne FaceWash
Robert,Fast response n delivery 👍🏻👍🏻,Grace And Glow - Body Wash Scrub 2in1 Body Care Parfume
A***r,"blind buy yg kesekian kalinya overall mantep, cuma ga berharap lebih di spl nya dengan harga segini, love braven ✌️",Braven Collection For Men Eau De Parfum Long Lasting Fragrance Parfume
